100 500 100
42 79 402
37 89 575
32 58 227
61 82 910
49 92 377
42 46 55
49 71 337
7 41 35
2 92 420
49 89 889
28 34 846
21 49 904
20 83 252
61 78 261
60 76 684
2 75 933
51 85 300
54 61 869
44 66 128
60 94 866
43 99 56
55 78 601
15 57 714
2 77 20
56 57 326
58 78 879
38 76 77
37 65 47
40 98 794
14 71 383
27 61 153
31 44 81
77 82 440
6 73 531
19 24 532
15 74 696
28 95 199
30 71 848
65 85 440
37 71 279
3 59 991
16 48 229
6 9 849
46 48 235
33 59 848
34 69 10
3 78 607
76 85 744
75 78 271
43 98 848
27 98 186
83 88 822
71 81 212
56 88 500
41 45 710
29 58 941
50 67 216
5 49 853
35 83 350
1 7 641
15 29 166
41 92 849
0 43 887
12 79 298
37 64 919
45 95 402
39 75 392
63 72 551
45 71 725
15 72 859
53 61 356
5 85 826
31 63 832
5 79 222
39 41 414
39 76 919
26 78 997
11 17 991
37 48 945
78 95 705
36 49 795
95 98 305
19 41 265
33 81 771
33 46 639
56 90 943
20 29 962
23 91 74
18 67 288
7 9 708
63 75 104
20 31 594
65 66 310
9 34 813
17 72 485
46 89 505
3 68 532
38 39 13
13 60 6
23 25 406
47 93 891
76 95 547
53 93 397
12 71 887
24 60 331
0 23 231
62 91 70
22 37 952
42 48 568
56 89 355
5 74 289
14 69 116
16 78 620
19 66 528
72 95 286
11 60 278
10 44 898
62 74 871
24 96 552
25 91 417
29 40 667
43 73 712
20 74 296
33 93 47
91 98 163
16 28 684
84 97 533
0 85 636
29 38 312
17 37 652
31 33 150
56 77 969
2 78 519
5 31 211
20 65 939
5 76 499
46 58 553
66 95 352
7 73 959
37 55 51
19 47 447
41 64 960
1 43 984
30 48 384
43 48 349
49 78 401
3 15 234
0 33 190
64 89 336
9 47 248
6 12 738
6 74 580
6 72 812
25 62 559
27 80 539
82 95 400
67 87 209
7 60 52
52 57 4
1 88 779
4 69 561
31 76 654
6 43 739
11 84 254
10 56 845
54 75 281
4 6 167
16 33 569
24 54 667
53 71 90
21 92 977
12 33 461
83 98 736
42 92 454
64 83 663
59 71 62
31 99 382
28 70 874
26 76 309
32 55 553
7 32 506
68 83 871
23 37 189
3 8 934
24 48 882
64 98 636
51 74 977
56 87 265
12 89 85
66 90 849
6 91 603
31 91 706
10 49 317
15 54 336
3 58 352
72 81 20
12 86 578
15 33 136
37 62 2
15 49 906
42 96 921
17 18 212
27 46 741
22 70 808
83 99 589
36 45 158
86 93 786
36 99 660
47 48 307
0 30 989
77 94 668
18 71 907
23 52 793
16 20 372
16 38 961
58 92 106
45 56 749
0 35 589
2 74 976
42 81 507
5 96 48
43 86 990
75 93 483
22 41 149
37 52 710
74 93 799
38 40 882
31 60 294
5 10 445
8 14 802
73 97 535
41 59 351
19 54 48
18 84 741
67 68 1000
50 52 905
9 85 297
7 68 27
48 85 332
37 99 549
24 26 689
58 99 455
30 42 473
44 80 588
14 86 543
46 79 627
19 51 322
47 60 815
15 53 770
36 98 408
79 80 869
55 69 757
44 89 94
52 59 748
28 91 748
23 85 142
69 78 145
12 26 127
29 86 221
22 30 963
40 52 736
61 97 952
11 45 653
80 88 56
9 67 954
19 26 127
12 27 178
12 75 942
4 74 244
13 87 58
3 31 930
49 85 38
38 46 336
29 89 199
28 37 412
49 95 784
32 36 582
30 80 684
51 83 619
56 62 193
67 94 264
25 66 635
27 30 984
48 75 255
36 55 159
49 70 255
35 41 690
89 93 304
11 51 146
35 59 461
89 90 562
18 46 924
30 44 412
38 62 14
60 71 304
